27,45,9,9,9,S,1134,2226
27,45,9,9,9,SW,1134,2225
27,45,9,9,9,SE,1134,2226
27,54,9,18,18,S,1296,2550
27,54,9,18,18,SW,1296,2546
27,54,9,18,18,SE,1296,2549
27,54,9,27,27,S,1215,2407
27,54,9,27,27,SW,1215,2402
27,54,9,27,27,SE,1215,2406
27,54,9,36,36,S,1134,2263
27,54,9,36,36,SW,1134,2258
27,54,9,36,36,SE,1134,2264
27,63,9,45,45,S,1296,2589
27,63,9,45,45,SW,1296,2583
27,63,9,45,45,SE,1296,2588
27,63,9,54,54,S,1215,2444
27,63,9,54,54,SW,1215,2437
27,63,9,54,54,SE,1215,2445
36,36,9,9,9,S,1215,2369
36,36,9,9,9,SW,1215,2375
36,36,9,9,9,SE,1215,2375
36,36,9,18,18,S,1134,2226
36,36,9,18,18,SW,1134,2229
36,36,9,18,18,SE,1134,2232
36,36,18,9,9,S,1134,2221
36,36,18,9,9,SW,1134,2224
36,36,18,9,9,SE,1134,2227
36,45,9,36,36,S,1296,2558
36,45,9,36,36,SW,1296,2560
36,45,9,36,36,SE,1296,2564
36,45,18,18,18,S,1296,2547
36,45,18,18,18,SW,1296,2547
36,45,18,18,18,SE,1296,2550
36,45,18,27,27,S,1134,2255
36,45,18,27,27,SW,1134,2255
36,45,18,27,27,SE,1134,2255
36,54,18,36,36,S,1296,2582
36,54,18,36,36,SW,1296,2579
36,54,18,36,36,SE,1296,2582
36,54,18,45,45,S,1134,2288
36,54,18,45,45,SW,1134,2285
36,54,18,45,45,SE,1134,2287
36,63,18,54,54,S,1296,2616
36,63,18,54,54,SW,1296,2610
36,63,18,54,54,SE,1296,2613
45,27,9,9,9,S,1134,2211
45,27,9,9,9,SW,1134,2223
45,27,9,9,9,SE,1134,2222
45,36,18,18,18,S,1296,2539
45,36,18,18,18,SW,1296,2546
45,36,18,18,18,SE,1296,2547
45,36,18,27,27,S,1134,2247
45,36,18,27,27,SW,1134,2253
45,36,18,27,27,SE,1134,2254
45,36,27,18,18,S,1134,2240
45,36,27,18,18,SW,1134,2244
45,36,27,18,18,SE,1134,2247
45,45,27,27,27,S,1296,2568
45,45,27,27,27,SW,1296,2569
45,45,27,27,27,SE,1296,2570
45,54,27,45,45,S,1215,2454
45,54,27,45,45,SW,1215,2453
45,54,27,45,45,SE,1215,2453
54,27,9,18,18,S,1296,2529
54,27,9,18,18,SW,1296,2543
54,27,9,18,18,SE,1296,2544
54,27,18,9,9,S,1296,2524
54,27,18,9,9,SW,1296,2537
54,27,18,9,9,SE,1296,2538
54,27,18,18,18,S,1134,2231
54,27,18,18,18,SW,1134,2244
54,27,18,18,18,SE,1134,2245
54,27,27,9,9,S,1215,2374
54,27,27,9,9,SW,1215,2384
54,27,27,9,9,SE,1215,2388
54,27,36,9,9,S,1134,2223
54,27,36,9,9,SW,1134,2231
54,27,36,9,9,SE,1134,2236
54,36,27,27,27,S,1215,2410
54,36,27,27,27,SW,1215,2418
54,36,27,27,27,SE,1215,2418
54,36,36,18,18,S,1296,2552
54,36,36,18,18,SW,1296,2558
54,36,36,18,18,SE,1296,2561
54,45,36,36,36,S,1134,2288
54,45,36,36,36,SW,1134,2291
54,45,36,36,36,SE,1134,2290
54,54,36,45,45,S,1296,2599
54,54,36,45,45,SW,1296,2617
54,54,36,45,45,SE,1296,2617
63,27,27,18,18,S,1215,2394
63,27,27,18,18,SW,1215,2407
63,27,27,18,18,SE,1215,2409
63,27,45,9,9,S,1296,2534
63,27,45,9,9,SW,1296,2544
63,27,45,9,9,SE,1296,2552
63,36,36,27,27,S,1296,2573
63,36,36,27,27,SW,1296,2583
63,36,36,27,27,SE,1296,2590
63,45,45,36,36,S,1215,2450
63,45,45,36,36,SW,1215,2456
63,45,45,36,36,SE,1215,2454
72,18,9,9,9,S,1215,2376
72,18,9,9,9,SW,1215,2400
72,18,9,9,9,SE,1215,2398
72,18,18,9,9,S,1134,2227
72,18,18,9,9,SW,1134,2248
72,18,18,9,9,SE,1134,2249
72,27,36,18,18,S,1296,2555
72,27,36,18,18,SW,1296,2570
72,27,36,18,18,SE,1296,2572
72,27,45,18,18,S,1134,2254
72,27,45,18,18,SW,1134,2267
72,27,45,18,18,SE,1134,2271
72,36,54,27,27,S,1134,2281
72,36,54,27,27,SW,1134,2289
72,36,54,27,27,SE,1134,2291
72,45,54,36,36,S,1296,2611
72,45,54,36,36,SW,1296,2617
72,45,54,36,36,SE,1296,2617
81,18,18,9,9,S,1296,2539
81,18,18,9,9,SW,1296,2563
81,18,18,9,9,SE,1296,2564
81,18,27,9,9,S,1215,2388
81,18,27,9,9,SW,1215,2411
81,18,27,9,9,SE,1215,2413
81,18,36,9,9,S,1134,2237
81,18,36,9,9,SW,1134,2258
81,18,36,9,9,SE,1134,2261
81,27,54,18,18,S,1215,2414
81,27,54,18,18,SW,1215,2428
81,27,54,18,18,SE,1215,2433
81,36,63,27,27,S,1215,2439
81,36,63,27,27,SW,1215,2450
81,36,63,27,27,SE,1215,2452
90,18,36,9,9,S,1296,2548
90,18,36,9,9,SW,1296,2573
90,18,36,9,9,SE,1296,2576
90,18,45,9,9,S,1215,2376
90,18,45,9,9,SW,1215,2418
90,18,45,9,9,SE,1215,2423
90,18,54,9,9,S,1134,2246
90,18,54,9,9,SW,1134,2267
90,18,54,9,9,SE,1134,2274
90,27,63,18,18,S,1296,2575
90,27,63,18,18,SW,1296,2591
90,27,63,18,18,SE,1296,2597
90,27,72,18,18,S,1134,2272
90,27,72,18,18,SW,1134,2285
90,27,72,18,18,SE,1134,2293
90,36,72,27,27,S,1296,2602
90,36,72,27,27,SW,1296,2612
90,36,72,27,27,SE,1296,2617
99,18,54,9,9,S,1296,2559
99,18,54,9,9,SW,1296,2582
99,18,54,9,9,SE,1296,2589
99,18,63,9,9,S,1215,2406
